Claim Cost (USD) (United Stated Dollar),Claim Recorded Date,Claim Recorded Month,Claim Recorded Year,Consumer State,Consumer Zip Code,Country of Service,Country of Service-Description,Failure Date,GSIR Base Warranty Flag,GSIR Base Warranty Flag-Description,Global Component Code,Global Component Code-Description,Global Component Group,Global Component Group-Description,Global Component Section,Global Component Section-Description,Global Defect Code,Global Defect Code-Description,Global Defect Section,Global Defect Section-Description,Global Repair Action Code,Global Repair Action Code-Description,Global Symptom Code,Global Symptom Code-Description,Global Symptom Group,Global Symptom Group-Description,Labor Cost (USD) (United Stated Dollar),Months in Service,NAR Kenmore Job Code,NAR Kenmore Job Code-Description,Part Cost (USD) (United Stated Dollar),Parts Replaced Flag,Parts Replaced Quantity,Region Service Component Code,Region Service Component Code-Description,Region Service Condition Code,Region Service Condition Code-Description,Region of Service,Region of Service-Description,Repeat Repair Flag,Repeat Repair Interval,Service Claim Id,Service Claim Type,Service Claim Type-Description,Service Company Number,Service Company Number-Description,Service Company Type,Service Company Type-Description,Service Complete Date,Service Provider Code,Service Provider Code-Description,Service Request Number,Service Responsibility Code,Service Responsibility Code-Description,Stock Repair Flag,Warranty Type Code,Warranty Type Code-Description,Customer Requested Comment,Service Technician Comment,Componente ,Horizon comment,Active SKU Flag,Active SKU Flag-Description,Architecture Code,Architecture Code-Description,Brand,Brand-Description,Unadjusted Total Claim Count,Commercial Segment,Commercial Segment-Description,DPL Platform Code,DPL Platform Code-Description,Division,Division-Description,Electronic Control Flag,Electronic Control Flag-Description,Comment,Engineering Model Number,Engineering Model Number-Description,GSIR Product Flag,GSIR Product Flag-Description,Global Product Category,Global Product Category-Description,Global Product Code,Global Product Code-Description,Global Product Family,Global Product Family-Description,Global Product Group,Global Product Group-Description,Global Product Platform,Global Product Platform-Description,NAR Product Code,NAR Product Code-Description,NAR Product Main Group,NAR Product Main Group-Description,NAR Product Summary Group,NAR Product Summary Group-Description,OEM Supplier,OEM Supplier-Description,Product Id,Production Date,Production Line,Production Line-Description,Production Month,Production Quarter,Production Shift,Production Shift-Description,Production Year,Production Year Week,Purchase Date,Sales Model Number,Sales Model Number-Description,Serial Number,Ship-to Channel,Ship-to Channel-Description,Ship-to High Level,Ship-to High Level-Description,Ship-to State,Shipped Date,Shipped Month,Shipped Year,Shipped-to Country,Shipped-to Country-Description,Shipped-to Region,Shipped-to Region-Description,Sold-to Name,Sold-to Name-Description,,
0.01,2019-10-01,2019/10,2019,?,66446,?,(?),2019-09-27,y, ,4060,AGITATOR (4060),AAAAAA,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,AAA,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,Mx,Foreign object (Mx),?, ,Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,271,AGITATOR (271),35,FOREIGN OBJ RMVD (35),NAR,North America (NAR),N,0,1085614555,SC,SERVICE CALL (SC),21172,CENTRO DE SOLUCIONES MONTERREY (21172),?,UNKNOWN (?),2019-09-30,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),CAVAZR RUIDO ANORMAL CUANDO AGITA NO EST�? FRENTE AL PRODUCTCLIENTE MENCIONA QUE NO SE PUEDE ACERCAR AL EQUIPO PERO QUE EL RUIDO,FLOREN5- P- RUIDO CUANDO LAVA C- OBJETO ATORADO EN AGITADOR S- SE RETIRA OBJETO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92911466,2019-07-22,?,(?),2019/07,2019Q3,?,(?),2019,201929,2019-08-28,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92911466,1105,MX Horizontal (1105),2087978,IMPULSORA LM (0002087978),NUEVO LEON,2019-07-30,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),2086548,"BODEGAS-TIENDA LM , SA DE CV (0002086548",,
0.01,2019-12-18,2019/12,2019,JALISCO,45017,MX,Mexico (MX),2019-12-09,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,0.01,3,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086157227,SC,SERVICE CALL (SC),31122,CENTRO DE SOLUCIONES GUADALAJARA (31122),?,UNKNOWN (?),2019-12-14,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),LUGOSL//LLENA Y DESPUES LA TIRA // Y CUANDO SI CONTIUA CON EL LAVADO NO EXPRIME,LLAMARA- NO LAVA SE CHECO Y TRABAJA NORMAL SE DIÓ DEMOSTRACÓN 123 VOLTS,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1722EI2,8MWTW1722EI2 (8MWTW1722EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1722EI:HL92233608,2019-06-03,?,(?),2019/06,2019Q2,?,(?),2019,201922,2019-09-10,8MWTW1722EI,LAV. AUTOMATICA NE (8MWTW1722EI),HL92233608,?,(?),?,(?),GUANAJUATO,2019-06-08,2019/06,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
182,2019-11-13,2019/11,2019,?,7140,?,(?),2019-10-07,y, ,9965,CUSTOMER REFUSED REPAIR (9965),?, ,?, ,Na,Service Related (Na),?, ,Z,Product exchange proposal (Z),MEX,Mexico (MEX),?, ,182,3,?,(?),0,N,0,555,CUST REFUSED RPR (555),55,EXCHANGE PRODUCT (55),NAR,North America (NAR),N,0,1085915794,SC,SERVICE CALL (SC),59717,59717 (59717),?,UNKNOWN (?),2019-11-12,?,NOT APPLICABLE (?),473097165,N,MACH MALFUNCTION-NOT REPAIRED (N),?,B,BASE WARRANTY (B),NO LAVA,PEDIDO NO LLEGO EN TIEMPO PASA A CAMBIO POR PROCESO LPK PIEZA LLEGO EL 07/11 DOCUMENT 1654047237 POSTED MOTOR W10677715 Y CAPACITOR W10866249 LPK LIMITE 05 DE NOVIEMBRE,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2081EN1,8MWTW2081EN1 (8MWTW2081EN1),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2081EN:HL92451842,2019-06-01,?,(?),2019/06,2019Q2,?,(?),2019,201924,2019-07-12,8MWTW2081EN,8MWTW2081EN (8MWTW2081EN),HL92451842,5100,MX National Chains (,2087861,"ELEKTRA DEL MILENIO,S.A.DE C.V (00020878",ESTADO DE MEXICO,2019-06-15,2019/06,2019,MX,Mexico (MX),NAR,North America (NAR),2086412,"NUEVA ELEKTRA DEL MILENIO,S.A.DE C. (000",,
187,2019-08-03,2019/08,2019,COLIMA,28500,MX,Mexico (MX),2019-07-30,y, ,7660,HOSE WASHERS/SCREENS/VALVE SCREENS (7660),?, ,?, ,M1,"Blocked, clogged (M1)",MEC,MECHANICAL (MEC),Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,187,1,?,(?),0,N,0,315,HOSE WASHR/SCREENS (315),11,PLUGGED/BLOCKED (11),NAR,North America (NAR),N,0,1085214605,SC,SERVICE CALL (SC),47675,47675 (47675),?,UNKNOWN (?),2019-08-01,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),LUGOSL // NO HACE LOS CICLOS COMPLETOS // REP DAMARIS MUEB LA MARINA 3123122818,01/08/2019 IAOI P- NO HACE LOS CICLOS COMPLETOS C- SEDASOS TAPADOS S- SE LIMPIARON LOS SEDASOS,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92784414,2019-07-08,?,(?),2019/07,2019Q3,?,(?),2019,201927,2019-07-21,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92784414,1105,MX Horizontal (1105),2089098,BODESA S.A. DE C.V. (0002089098),JALISCO,2019-07-08,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),2086723,BODESA S.A.P.I. DE C.V. (0002086723),,
213,2019-08-30,2019/08,2019,SONORA,83293,MX,Mexico (MX),2019-08-27,y, ,2710,BELT (2710),ME01,BELT-PULLEY (ME01),ME,MECHANICAL (ME),Cx,Mechanically misaligned (Cx),?, ,Y,No Part Replaced (Y),A1C,Stops during program flow (A1C),WDD,WASHER DRYER DISHWASH (WDD),213,1,?,(?),0,N,0,234,BELTS (234),2,POOR FIT/MISALIGN/MISASSEMBLED (02),NAR,North America (NAR),N,0,1085405415,SC,SERVICE CALL (SC),65893,65893 (65893),?,UNKNOWN (?),2019-08-28,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B),CAVAZR NO EXPRIME ENVIAR TÉCNICO ENVIAR TÉCNICO. PROBLEMA:O EXPRIME / NIVELACIÓN CORRECTA DE PRODUCTO / SIN DESVALANC. NO AGITA,P. NO EXPRIME C. BANDA SUELTA S. SE AJUSTO BANDA CT. QUEDA FUNCIONANDO,Banda ,Suelta ,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2011EI1,8MWTW2011EI1 (8MWTW2011EI1),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2011EI:HL91887979,2019-05-06,?,(?),2019/05,2019Q2,?,(?),2019,201918,2019-08-10,8MWTW2011EI,8MWTW2011EI (8MWTW2011EI),HL91887979,?,(?),?,(?),NUEVO LEON,2019-05-08,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM04,(RM04),,
208,2019-12-18,2019/12,2019,VERACRUZ,91808,MX,Mexico (MX),2019-12-14,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,208,2,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086157336,SC,SERVICE CALL (SC),77184,77184 (77184),?,UNKNOWN (?),2019-12-16,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),GONZH18 NO LLENA // TIENE MIEDO DE MOVERLE AL PRODUCTO Y PREFIERE QUE ASISTA EL TÉCNICO,KEM.- EDGAR 16/12/2019 P.- NO LLENA C.- REQUIERE INSTRUCCIONES DE USO S.- UNIDAD TRABAJANDO BIEN,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2081EN1,8MWTW2081EN1 (8MWTW2081EN1),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2081EN:HL92896707,2019-06-29,?,(?),2019/06,2019Q2,?,(?),2019,201928,2019-10-24,8MWTW2081EN,8MWTW2081EN (8MWTW2081EN),HL92896707,?,(?),?,(?),NUEVO LEON,2019-07-13,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),RM01,(RM01),,
0.01,2019-10-31,2019/10,2019,JALISCO,45645,MX,Mexico (MX),2019-10-29,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1085827826,SC,SERVICE CALL (SC),31122,CENTRO DE SOLUCIONES GUADALAJARA (31122),?,UNKNOWN (?),2019-10-30,?,NOT APPLICABLE (?),1-19649555782,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),OBSERVACIONES ESTABA LAVANDO Y DEJO DE FUNCIONAR,MUNOZI2- P NO HACE EL CICLO C EQUIPO TRABAJANDO BIEN S SE LEDIERON INSTRUCIONES DE USO Y MANEJO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1824WJM0,8MWTW1824WJM0 (8MWTW1824WJM0),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1824WJM:HL93680004,2019-09-09,?,(?),2019/09,2019Q3,?,(?),2019,201936,2019-10-10,8MWTW1824WJM,8MWTW1824WJM (8MWTW1824WJM),HL93680004,?,(?),?,(?),ESTADO DE MEXICO,2019-09-24,2019/09,2019,MX,Mexico (MX),NAR,North America (NAR),RM07,(RM07),,
0.01,2019-11-08,2019/11,2019,?,42337,?,(?),2019-10-05,y, ,9910,INSTRUCTION FOR USE (9910),II01,INSTRUCTION FOR USE (II01),II,Installation and Instruct (II),N9,UNSATIS PERFOMANCE (N9),?, ,Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,921,GENERAL INSTRUCT (921),87,SELF/CONT CLEAN (87),NAR,North America (NAR),N,0,1085888008,SC,SERVICE CALL (SC),47430,47430 (47430),?,UNKNOWN (?),2019-10-07,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),P. NO LAVA/ SUCIO S. SE REALIZO LIMPIEZA,P. NO LAVA/ SUCIO S. SE REALIZO LIMPIEZA,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1820CM3,8MWTW1820CM3 (8MWTW1820CM3),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1820CM:HL92783640,2019-07-08,?,(?),2019/07,2019Q3,?,(?),2019,201927,2019-09-08,8MWTW1820CM,LAV. AUTOMATICA NE (8MWTW1820CM),HL92783640,?,(?),?,(?),GUANAJUATO,2019-08-02,2019/08,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
182,2019-12-07,2019/12,2019,ESTADO DE MÉXICO,54190,MX,Mexico (MX),2019-11-28,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,182,4,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086080071,SC,SERVICE CALL (SC),59717,59717 (59717),?,UNKNOWN (?),2019-12-05,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),LUGOSL// A LA CUARTA CARGA YA NO QUIERE TRABAJAR_ DRENA EL AGUA YA NO AVANZA CON LOS CICLOS,P. DESPUÉS DE LA TERCERA LAVADA DRENA EL AGUA C. SOLO USA LVADO MANUAL Y ES NORMAL Q LA DRENE S. SE DIO INDICACIONES DEUSO Y MANEJO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1809EQ2,8MWTW1809EQ2 (8MWTW1809EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1809EQ:HL91888507,2019-05-06,?,(?),2019/05,2019Q2,?,(?),2019,201918,2019-08-14,8MWTW1809EQ,LAV. AUTOMATICA NE (8MWTW1809EQ),HL91888507,?,(?),?,(?),ESTADO DE MEXICO,2019-05-16,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM07,(RM07),,
254.44,2019-10-28,2019/10,2019,COAHUILA,25117,MX,Mexico (MX),2019-10-24,y, ,7660,HOSE WASHERS/SCREENS/VALVE SCREENS (7660),?, ,?, ,M1,"Blocked, clogged (M1)",MEC,MECHANICAL (MEC),Y,No Part Replaced (Y),A1C,Stops during program flow (A1C),WDD,WASHER DRYER DISHWASH (WDD),254.44,5,?,(?),0,N,0,315,HOSE WASHR/SCREENS (315),11,PLUGGED/BLOCKED (11),NAR,North America (NAR),N,0,1085799754,SC,SERVICE CALL (SC),47710,47710 (47710),?,UNKNOWN (?),2019-10-25,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),CAVAZR NO AGITA ENVIAR TÉCNICO ENVIAR TÉCNICO. NO EXPRIME NVIAR TÉCNICO ENVIAR TÉCNICO. NO LLENA OTROS SI SE ENVIAR_AL TÉCNIC,P. NO LLENA C. FILTRO DE AGUA FRIA OBSTRUDO POR SARRO S. S E LIMPIO POR TRES OCACIONES FILTRO Y NO DEJABA DE SALIR SARRO _ SE LE RECOMENDO A CLIENTE HACER LIMPIEZA DE TINACO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92229514,2019-06-03,?,(?),2019/06,2019Q2,?,(?),2019,201922,2019-06-17,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92229514,5100,MX National Chains (,2087876,"GRUPO FAMSA, S.A. DE C.V. (0002087876)",NUEVO LEON,2019-06-08,2019/06,2019,MX,Mexico (MX),NAR,North America (NAR),2086747,"GRUPO FAMSA, S.A.B. DE C.V. (0002086747)",,
0.01,2019-09-24,2019/09,2019,COLIMA,28989,MX,Mexico (MX),2019-09-18,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),Y,0,1085565283,SC,SERVICE CALL (SC),47675,47675 (47675),?,UNKNOWN (?),2019-09-19,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),IBANEM2/ NO ENCIENDE TABLERO/ EQUIPO EN PISO DE VENTA/ REP DAMARIS AGUIRRE MUEB.TIENDAS LA MARINA TEL> 3123122918,19/09/2019 IAOI P- NO ENCIENDE TABLERO/ C- SE REVISO Y SI N ANOMALIAS S- SE DEMOSTRO QUE EL APTO NO TIENE ANOMALIAS,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2095EI2,8MWTW2095EI2 (8MWTW2095EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2095EI:HL92234654,2019-06-03,?,(?),2019/06,2019Q2,?,(?),2019,201922,2019-09-07,8MWTW2095EI,LAV. AUTOMATICA NE (8MWTW2095EI),HL92234654,1105,MX Horizontal (1105),2089098,BODESA S.A. DE C.V. (0002089098),JALISCO,2019-07-03,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),2086723,BODESA S.A.P.I. DE C.V. (0002086723),,
182,2019-12-17,2019/12,2019,ESTADO DE MÉXICO,53490,MX,Mexico (MX),2019-12-04,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,182,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086147458,SC,SERVICE CALL (SC),59717,59717 (59717),?,UNKNOWN (?),2019-12-13,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),ROSAJ17 NO INICIA AGITA UN POCO Y SE PARA,NO LAVA C. LLENADO ASISTIDO DE FORMA INCORRECTA S. SE DIO INDICACIONES DE LLENADO ASISTIDO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2081EN1,8MWTW2081EN1 (8MWTW2081EN1),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2081EN:HL93138367,2019-08-05,?,(?),2019/08,2019Q3,?,(?),2019,201931,2019-11-16,8MWTW2081EN,8MWTW2081EN (8MWTW2081EN),HL93138367,?,(?),?,(?),NUEVO LEON,2019-08-09,2019/08,2019,MX,Mexico (MX),NAR,North America (NAR),RM04,(RM04),,
194,2019-11-19,2019/11,2019,?,60698,?,(?),2019-11-11,y, ,7660,HOSE WASHERS/SCREENS/VALVE SCREENS (7660),?, ,?, ,M1,"Blocked, clogged (M1)",MEC,MECHANICAL (MEC),Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,194,4,?,(?),0,N,0,315,HOSE WASHR/SCREENS (315),11,PLUGGED/BLOCKED (11),NAR,North America (NAR),N,0,1085955703,SC,SERVICE CALL (SC),62566,62566 (62566),?,UNKNOWN (?),2019-11-12,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),PEREZD4 AL TERMINA EL CICLO NO SE APAGA_ VUELVE A INICIAR UNO NUEVO // REP NEREIDA GARCIA MUEB LA GRAN BARATA TEL 4535727760,P. NO TRABAJA SOLO DRENA C. FILTROS SUCIOS_ DESCONECTA SU EQUIPO S. EXPLICAR USO Y MANEJO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2095EI2,8MWTW2095EI2 (8MWTW2095EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2095EI:HL91890867,2019-05-06,?,(?),2019/05,2019Q2,?,(?),2019,201918,2019-07-23,8MWTW2095EI,LAV. AUTOMATICA NE (8MWTW2095EI),HL91890867,?,(?),?,(?),GUANAJUATO,2019-05-06,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
205.88,2019-11-29,2019/11,2019,?,36500,?,(?),2019-11-26,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,205.88,2,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1086031365,SC,SERVICE CALL (SC),47555,47555 (47555),?,UNKNOWN (?),2019-11-27,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),CHAVER4 NO DRENA Y NO EXPRIME _ SE PROGRAMA UN CICLO DE DR ENAR Y EXPRIMIR Y APARATO SOLO ENCIENDE LED DE EXPRIMIR PER O NO INICI,P. NO DRENA NO EXPRIME C. CTE. NO SABE EL FUNCIONAMIENTO CORRECTO DEL APTO S.S E EXPLICOFUNCIONAMIENTO A CTE.,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1701EQ2,8MWTW1701EQ2 (8MWTW1701EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1701EQ:HL92789142,2019-07-08,?,(?),2019/07,2019Q3,?,(?),2019,201927,2019-10-06,8MWTW1701EQ,LAV. AUTOMATICA NE (8MWTW1701EQ),HL92789142,?,(?),?,(?),NUEVO LEON,2019-07-23,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),RM04,(RM04),,
